account_id;wielkosckredytu;dataurodzenia;datazalozenia;datapozyczki;czastrwaniakredytu;platnosci;status;plec;disp_id;typkarty;stan_konta_przydzielanie_kredytu;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;wiek_pozyczka;staz_pozyczka;balance;Czy_problemy;duration;payments;iletransakcji;ilecredit;ilewithdraw;ilecreditcardwithdrawal;ilecreditincash;ilecollectionfromanotherbank;ileremittancetoanotherbank
378;230400;24.07.1961;22.07.1996;11.10.1997;60;3840;C;1;458;;86471,1;228848;15;40;18;2;6;57,2;9893;4,09;4,72;96;5623;5887;36,21643836;1,221917808;86471,1;0;60;3840;168;53;111;0;38;0;53
426;252060;03.08.1965;29.11.1993;19.07.1994;60;4201;D;0;512;;900;1204953;0;0;0;1;1;100;12541;0,29;0,43;167;85677;99107;28,95890411;0,635616438;900;1;60;4201;61;26;29;0;19;0;10
440;84288;27.09.1957;22.12.1996;13.03.1998;48;1756;C;0;530;;500;45714;52;10;5;1;6;55,6;8843;2,82;3,6;113;818;888;40,45753425;1,221917808;500;0;48;1756;85;33;52;0;19;0;10
442;357840;19.05.1941;30.03.1997;10.07.1997;48;7455;D;0;533;;600;387570;0;0;0;1;1;100;9897;1,6;1,96;140;18721;18696;56,14246575;0,279452055;600;1;48;7455;2;2;0;0;2;0;0
472;196800;19.07.1960;11.10.1996;28.04.1997;24;8200;D;0;568;;300;112065;95;19;7;1;8;69,4;11277;1,25;1,44;127;5179;4987;36,77534247;0,545205479;300;1;24;8200;23;12;11;0;1;6;0
501;262980;09.03.1966;21.10.1995;24.10.1996;60;4383;C;0;603;;900;53921;61;22;1;1;2;41,3;8598;2,77;3,26;123;1597;1875;30,62739726;1,008219178;900;0;60;4383;56;24;32;0;13;0;0
525;210384;22.03.1956;20.03.1996;16.07.1997;48;4383;C;0;631;;300;285387;0;2;8;5;7;89,9;10177;6,63;7,75;81;9878;10108;41,31780822;1,323287671;300;0;48;4383;59;29;30;0;15;0;6
544;91152;10.12.1942;15.05.1995;22.08.1996;24;3798;A;1;655;classic;65136,9;105058;32;19;7;2;10;81;9272;2,8;3,22;118;4340;4505;53,69863014;1,271232877;65136,9;0;24;3798;77;31;43;1;2;15;0
666;12540;12.02.1940;15.03.1996;28.11.1997;12;1045;A;0;798;classic;52508,5;67298;71;19;10;0;7;43,8;8561;0,65;1,29;110;1029;1127;57,79178082;1,706849315;52508,5;0;12;1045;152;45;107;2;26;0;45
675;102240;24.09.1945;03.08.1995;01.04.1997;60;1704;C;0;810;classic;31646,4;109164;98;16;6;1;4;63,6;8757;3,38;3,95;96;2212;2471;51,51780822;1,660273973;31646,4;0;60;1704;126;53;73;0;33;0;15
718;76944;13.09.1956;03.03.1996;20.08.1997;12;6412;A;0;861;classic;500;1204953;0;0;0;1;1;100;12541;0,29;0,43;167;85677;99107;40,93424658;1,465753425;500;0;12;6412;110;39;67;0;25;0;32
785;156096;03.08.1952;09.08.1997;12.02.1998;36;4336;C;1;939;;700;103347;87;16;7;1;7;67;9104;1,51;2,07;123;2299;2354;45,52876712;0,512328767;700;0;36;4336;33;14;18;0;2;6;2
789;73056;18.12.1970;06.02.1995;23.11.1995;48;1522;C;1;944;;500;119895;17;4;3;2;4;89,9;10446;7,34;9,4;90;4947;4743;24,93150685;0,794520548;500;0;48;1522;51;23;28;0;14;0;10
790;208128;06.08.1951;11.05.1993;24.07.1994;48;4336;B;1;946;classic;300;387570;0;0;0;1;1;100;9897;1,6;1,96;140;18721;18696;42,96438356;1,202739726;300;1;48;4336;64;29;34;0;16;0;0
808;215616;17.02.1957;13.06.1995;11.04.1996;48;4492;D;1;968;;200;42821;4;13;5;1;3;48,4;8173;6,6;7,01;124;1103;1358;39,14520548;0,82739726;200;1;48;4492;61;30;31;0;12;0;0
813;24312;19.11.1955;10.02.1993;11.05.1994;12;2026;A;0;976;;1100;93931;74;21;10;1;8;56,9;8427;1,12;1,54;107;1874;1913;38,4739726;1,246575342;1100;0;12;2026;78;37;36;0;7;15;0
816;48624;30.09.1961;05.08.1993;08.01.1995;24;2026;A;1;980;;200;139012;59;41;8;3;10;61,9;8363;2,52;3,49;108;2564;2799;33,2739726;1,42739726;200;0;24;2026;117;49;65;0;32;0;12
817;538500;28.06.1960;18.03.1994;17.02.1995;60;8975;C;1;981;;200;95616;65;30;4;1;6;51,4;9307;3,85;4,43;118;2616;3040;34,64109589;0,920547945;200;0;60;8975;58;22;36;0;12;0;7
825;53076;21.05.1948;06.03.1996;02.02.1997;12;4423;A;1;992;classic;500;51428;50;11;3;1;4;52,7;8402;3,13;3,98;120;999;1099;48,70410959;0,912328767;500;0;12;4423;65;26;39;0;15;0;6
846;187104;10.05.1977;09.03.1996;28.07.1996;24;7796;A;0;1020;classic;48332,7;226122;32;50;7;4;4;62,6;8994;3,8;4,79;110;9672;9208;19,21643836;0,38630137;48332,7;0;24;7796;25;16;9;0;12;0;0
854;87216;16.03.1954;21.09.1993;30.05.1995;48;1817;C;0;1029;;34474,8;145688;22;41;13;2;5;40,7;8544;1,29;1,86;109;2719;2906;41,20547945;1,687671233;34474,8;0;48;1817;148;41;107;0;22;0;47
873;178500;26.08.1971;26.04.1997;24.02.1998;60;2975;C;0;1051;;14444;182027;17;49;12;2;7;56,4;8746;3,33;3,74;90;4355;4433;26,49863014;0,832876712;14444;0;60;2975;64;25;39;0;16;0;16
915;309552;29.01.1935;18.01.1995;16.09.1995;48;6449;C;1;1102;;60112,2;226122;32;50;7;4;4;62,6;8994;3,8;4,79;110;9672;9208;60,63013699;0,660273973;60112,2;0;48;6449;35;16;19;0;1;8;4
938;22260;26.11.1940;13.12.1997;21.05.1998;60;371;C;0;1130;;25812,2;285387;0;2;8;5;7;89,9;10177;6,63;7,75;81;9878;10108;57,48219178;0,435616438;25812,2;0;60;371;15;13;2;0;9;0;0
940;284280;15.09.1958;15.11.1994;29.05.1996;60;4738;C;0;1133;gold;56320,4;114006;71;26;6;2;9;62,3;9065;4,46;5,39;123;4147;4166;37,70136986;1,534246575;56320,4;0;60;4738;94;36;54;0;1;18;0
960;189060;30.12.1958;02.11.1994;24.05.1995;60;3151;C;0;1157;classic;96936,3;149893;63;29;6;2;6;67,4;9753;4,64;5,05;109;5244;5892;36,39726027;0,556164384;96936,3;0;60;3151;30;14;15;0;1;7;3
993;108720;02.10.1966;14.11.1996;01.07.1998;60;1812;C;0;1197;classic;1000;77963;60;23;4;2;4;51,5;8546;2,95;4,02;126;2640;3120;31,74520548;1,62739726;1000;0;60;1812;64;34;27;0;15;0;0
1004;188532;01.09.1975;02.07.1996;11.04.1998;36;5237;C;0;1208;;200;285387;0;2;8;5;7;89,9;10177;6,63;7,75;81;9878;10108;22,60821918;1,775342466;200;0;36;5237;148;61;83;0;42;0;0
1011;204000;06.05.1944;17.12.1994;18.12.1995;60;3400;C;1;1215;;400;77917;85;19;6;1;5;53,5;8390;2,28;2,89;132;2080;2122;51,61917808;1,002739726;400;0;60;3400;65;25;37;0;2;12;8
1012;98184;12.06.1945;09.07.1994;28.10.1994;24;4091;A;0;1216;;500;114200;101;41;4;1;4;43,7;8403;5,74;5,72;105;2157;2718;49,37808219;0,304109589;500;0;24;4091;14;11;3;0;1;4;0
1068;253200;27.11.1936;15.02.1997;24.09.1998;60;4220;C;1;1282;;1000;139012;59;41;8;3;10;61,9;8363;2,52;3,49;108;2564;2799;61,82465753;1,605479452;1000;0;60;4220;134;42;88;0;24;0;45
1071;253200;13.03.1950;10.05.1993;20.01.1994;60;4220;C;0;1286;;800;228848;15;40;18;2;6;57,2;9893;4,09;4,72;96;5623;5887;43,85753425;0,698630137;800;0;60;4220;41;21;17;0;13;0;0
1083;50976;27.10.1979;06.12.1996;16.04.1998;36;1416;C;1;1300;;400;77917;85;19;6;1;5;53,5;8390;2,28;2,89;132;2080;2122;18,46849315;1,35890411;400;0;36;1416;123;38;85;0;22;0;38
1093;385104;18.12.1956;14.01.1996;13.06.1997;48;8023;C;0;1311;;1000;387570;0;0;0;1;1;100;9897;1,6;1,96;140;18721;18696;40,48493151;1,410958904;1000;0;48;8023;102;34;59;0;1;17;13
1106;192552;31.12.1963;29.08.1993;12.11.1994;24;8023;B;0;1327;;800;70646;94;14;3;1;4;58,4;8547;2,65;3,64;120;1563;1542;30,86575342;1,205479452;800;1;24;8023;51;26;23;0;12;0;0
1166;149040;20.12.1968;21.04.1993;07.02.1994;48;3105;A;0;1404;;39345,6;75637;35;36;9;0;7;36,5;9622;0,45;0,59;154;3475;3529;25,13424658;0,8;39345,6;0;48;3105;54;20;32;0;2;9;5
1242;128544;29.11.1951;24.11.1996;07.09.1997;24;5356;C;0;1499;;20831,6;323870;0;0;0;1;1;100;10673;4,75;5,44;100;18782;18347;45,77260274;0,78630137;20831,6;0;24;5356;60;21;39;0;11;0;20
1244;35904;22.01.1946;08.05.1996;28.02.1997;48;748;C;1;1501;;900;228848;15;40;18;2;6;57,2;9893;4,09;4,72;96;5623;5887;51,10136986;0,810958904;900;0;48;748;59;24;35;0;16;0;18
1247;99696;25.06.1971;08.06.1993;16.03.1995;48;2077;D;0;1505;;72540;88757;60;33;3;2;10;61,7;8554;2,47;2,68;113;1822;2218;23,72328767;1,769863014;72540;1;48;2077;108;45;55;0;31;0;0
1250;182640;19.04.1942;28.03.1996;25.11.1996;48;3805;C;0;1509;;23898,3;145688;22;41;13;2;5;40,7;8544;1,29;1,86;109;2719;2906;54,60273973;0,663013699;23898,3;0;48;3805;40;17;23;0;2;8;7
1252;148140;06.03.1962;26.07.1995;01.04.1997;36;4115;C;0;1511;;52101,8;53921;61;22;1;1;2;41,3;8598;2,77;3,26;123;1597;1875;35,07123288;1,682191781;52101,8;0;36;4115;118;42;72;0;2;20;0
1256;71064;17.10.1946;21.04.1994;29.05.1995;36;1974;A;0;1516;;700;85852;41;23;4;2;4;59,8;8965;7,08;8,23;104;2653;2822;48,61369863;1,104109589;700;0;36;1974;86;29;57;0;17;0;18
1270;74772;22.12.1960;07.06.1996;01.07.1997;36;2077;C;1;1533;;500;157042;49;70;18;0;9;33,9;8743;1,88;2,43;111;3659;3894;36,52328767;1,065753425;500;0;36;2077;71;30;40;0;4;13;8
1284;52512;15.12.1944;02.07.1997;05.12.1998;12;4376;C;1;1554;;1000;157042;49;70;18;0;9;33,9;8743;1,88;2,43;111;3659;3894;53,97260274;1,42739726;1000;0;12;4376;87;38;42;0;25;0;0
1318;185544;29.09.1939;22.12.1997;11.10.1998;36;5154;C;1;1594;;200;124605;11;42;14;1;8;46;8772;4,69;4,98;126;2854;3158;59,03287671;0,802739726;200;0;36;5154;35;18;15;0;11;0;7
1329;23520;11.11.1941;16.09.1996;06.09.1997;12;1960;A;1;1608;;500;107911;88;33;6;2;7;50,9;8240;2,53;3,56;99;1850;1903;55,81917808;0,97260274;500;0;12;1960;63;24;38;0;2;11;14
1374;389136;07.09.1967;26.09.1996;15.09.1997;48;8107;C;1;1662;;700;107911;88;33;6;2;7;50,9;8240;2,53;3,56;99;1850;1903;30,02191781;0,969863014;700;0;48;8107;62;24;32;0;1;12;0
1375;45336;29.04.1957;27.04.1994;29.08.1995;24;1889;A;1;1663;;800;51428;50;11;3;1;4;52,7;8402;3,13;3,98;120;999;1099;38,33424658;1,339726027;800;0;24;1889;90;33;57;0;18;0;12
1389;125472;25.11.1940;05.08.1997;02.09.1998;24;5228;C;1;1681;;800;125236;28;11;1;4;5;87,7;9675;6,43;7,68;100;5323;5190;57,76986301;1,076712329;800;0;24;5228;97;39;52;0;26;0;11
1407;125472;01.07.1946;11.04.1997;17.01.1998;24;5228;C;0;1705;;77334,2;51428;50;11;3;1;4;52,7;8402;3,13;3,98;120;999;1099;51,54794521;0,769863014;77334,2;0;24;5228;77;32;44;0;23;0;8
1447;100080;18.08.1965;20.02.1997;03.06.1997;48;2085;C;0;1755;;16608;114200;101;41;4;1;4;43,7;8403;5,74;5,72;105;2157;2718;31,79178082;0,282191781;16608;0;48;2085;10;8;2;0;2;3;0
1480;123300;17.03.1945;03.07.1996;19.01.1998;36;3425;C;0;1793;classic;96835,5;118650;8;8;5;1;3;85,6;9832;3,32;4,48;114;6445;5471;52,84383562;1,547945205;96835,5;0;36;3425;90;40;48;2;26;0;0
1498;165780;24.07.1951;07.02.1997;07.10.1998;60;2763;C;1;1816;;12872,8;145688;22;41;13;2;5;40,7;8544;1,29;1,86;109;2719;2906;47,20547945;1,663013699;12872,8;0;60;2763;113;60;45;0;24;0;0
1527;164052;12.09.1975;17.11.1993;19.11.1994;36;4557;B;0;1851;;46428,2;51313;34;12;3;1;4;59,2;8930;3,52;4,2;108;1328;1452;19,18630137;1,005479452;46428,2;1;36;4557;65;28;30;0;16;0;0
1528;191088;05.09.1962;08.06.1996;21.07.1997;48;3981;C;1;1852;;38417,7;102609;75;33;2;3;6;52;8187;4,83;5,45;94;2123;2134;34,8739726;1,117808219;38417,7;0;48;3981;78;29;49;0;16;0;0
1580;194256;15.04.1968;08.01.1996;27.11.1997;24;8094;C;1;1913;classic;400;42821;4;13;5;1;3;48,4;8173;6,6;7,01;124;1103;1358;29,61917808;1,884931507;400;0;24;8094;134;56;73;0;35;0;0
1583;388512;13.03.1969;17.11.1994;24.08.1996;48;8094;D;0;1917;;1000;42821;4;13;5;1;3;48,4;8173;6,6;7,01;124;1103;1358;27,44931507;1,767123288;1000;1;48;8094;120;54;58;0;33;0;0
1603;78936;22.01.1957;09.05.1993;06.02.1994;12;6578;A;0;1944;;900;1204953;0;0;0;1;1;100;12541;0,29;0,43;167;85677;99107;37,04109589;0,747945205;900;0;12;6578;51;24;27;0;15;0;9
1638;64224;13.12.1937;12.11.1996;26.01.1998;24;2676;C;1;1985;;900;77963;60;23;4;2;4;51,5;8546;2,95;4,02;126;2640;3120;60,12054795;1,205479452;900;0;24;2676;47;25;22;0;11;0;4
1656;189792;07.06.1940;01.02.1997;29.10.1998;48;3954;C;1;2008;;500;162580;83;26;5;1;6;72,8;9538;1,51;1,81;111;6079;5410;58,39452055;1,739726027;500;0;48;3954;128;47;79;0;6;21;16
1698;141948;26.09.1950;14.03.1996;06.07.1996;36;3943;C;0;2063;classic;34423,1;228848;15;40;18;2;6;57,2;9893;4,09;4,72;96;5623;5887;45,77534247;0,312328767;34423,1;0;36;3943;10;7;3;0;4;0;0
1718;172272;12.03.1943;23.09.1997;20.08.1998;24;7178;C;1;2083;;58856;161227;5;35;11;4;10;69,7;8678;5,93;5,57;102;4980;4595;55,44109589;0,906849315;58856;0;24;7178;55;22;33;0;1;11;6
1762;248148;24.07.1940;11.12.1993;28.04.1995;36;6893;A;0;2136;;20587,6;72541;66;26;10;0;8;36,9;8594;1,62;2,01;112;1580;1525;54,76164384;1,378082192;20587,6;0;36;6893;120;37;83;0;22;0;33
1766;30060;06.09.1951;03.09.1994;15.06.1996;60;501;C;1;2141;classic;36814,9;72541;66;26;10;0;8;36,9;8594;1,62;2,01;112;1580;1525;44,77260274;1,780821918;36814,9;0;60;501;186;45;141;8;24;0;68
1772;202788;20.07.1953;20.02.1995;13.03.1996;36;5633;C;0;2148;;41857,9;51313;34;12;3;1;4;59,2;8930;3,52;4,2;108;1328;1452;42,64657534;1,057534247;41857,9;0;36;5633;79;26;44;0;1;13;9
1776;43200;16.05.1949;27.07.1997;27.05.1998;24;1800;C;0;2153;;40907,3;159617;29;19;8;1;9;85,2;9198;3,33;4,28;131;5796;6132;49,03013699;0,832876712;40907,3;0;24;1800;54;21;33;0;12;0;5
1787;96396;22.07.1947;22.03.1993;05.07.1993;12;8033;B;0;2166;;11000;94812;15;13;8;2;10;81,8;9650;3,38;3,67;100;2985;2804;45,95342466;0,287671233;11000;1;12;8033;4;4;0;0;4;0;0
1801;165960;22.07.1968;13.02.1993;11.07.1993;36;4610;A;1;2181;;27427,5;112709;48;20;7;3;10;73,5;8369;1,79;2,31;117;2854;2618;24,96986301;0,405479452;27427,5;0;36;4610;37;17;18;0;12;0;8
1808;385584;22.10.1974;16.05.1997;30.09.1998;48;8033;C;1;2190;;400;72541;66;26;10;0;8;36,9;8594;1,62;2,01;112;1580;1525;23,93972603;1,375342466;400;0;48;8033;78;36;39;0;24;0;0
1811;239460;13.09.1942;22.09.1993;23.06.1994;60;3991;C;0;2195;;300;128118;9;16;6;3;8;85,3;9317;6,49;7,07;97;6949;6872;51,77534247;0,750684932;300;0;60;3991;46;18;27;0;1;9;8
1819;143676;12.12.1952;21.10.1996;11.01.1998;36;3991;C;1;2205;;700;157042;49;70;18;0;9;33,9;8743;1,88;2,43;111;3659;3894;45,08219178;1,224657534;700;0;36;3991;72;27;44;0;13;0;22
1843;105804;20.04.1940;30.01.1993;03.08.1993;36;2939;A;0;2235;classic;1000;107870;84;29;6;1;6;58;8754;3,83;4,31;137;3804;3868;53,28767123;0,506849315;1000;0;36;2939;25;13;12;0;2;6;2
1862;396120;02.01.1950;15.04.1995;16.10.1996;60;6602;C;0;2259;classic;500;51428;50;11;3;1;4;52,7;8402;3,13;3,98;120;999;1099;46,78630137;1,504109589;500;0;60;6602;95;36;53;0;1;18;0
1869;37944;10.04.1966;14.06.1996;29.01.1998;36;1054;C;0;2267;classic;500;1204953;0;0;0;1;1;100;12541;0,29;0,43;167;85677;99107;31,80547945;1,62739726;500;0;36;1054;107;38;69;7;20;0;0
1876;209040;25.03.1979;20.09.1997;10.09.1998;24;8710;C;1;2277;junior;900;1204953;0;0;0;1;1;100;12541;0,29;0,43;167;85677;99107;19,4630137;0,97260274;900;0;24;8710;66;27;39;0;16;0;14
1886;162468;23.08.1957;05.03.1996;31.07.1996;36;4513;C;0;2288;;700;105058;32;19;7;2;10;81;9272;2,8;3,22;118;4340;4505;38,9369863;0,405479452;700;0;36;4513;15;10;5;0;1;5;0
1888;57360;19.09.1957;21.10.1996;30.08.1997;12;4780;B;1;2291;;300;77963;60;23;4;2;4;51,5;8546;2,95;4,02;126;2640;3120;39,94520548;0,857534247;300;1;12;4780;75;29;45;0;1;10;18
1906;44952;25.03.1970;01.08.1996;08.10.1997;24;1873;C;1;2316;;1000;1204953;0;0;0;1;1;100;12541;0,29;0,43;167;85677;99107;27,53972603;1,18630137;1000;0;24;1873;89;30;58;0;16;0;18
1928;55632;18.12.1948;02.03.1997;06.12.1998;24;2318;C;1;2342;;500;285387;0;2;8;5;7;89,9;10177;6,63;7,75;81;9878;10108;49,96712329;1,764383562;500;0;24;2318;114;50;58;0;8;21;0
1967;249312;21.05.1955;13.02.1995;21.04.1996;48;5194;C;1;2392;;54871,2;170449;0;0;0;1;1;100;10787;2,64;3,09;131;6041;6261;40,91780822;1,183561644;54871,2;0;48;5194;60;30;30;0;17;0;6
1978;205200;25.01.1963;11.06.1993;04.12.1994;36;5700;A;0;2403;;40818,4;161954;21;37;20;3;8;48;8720;3,73;4,5;116;3729;3651;31,85753425;1,482191781;40818,4;0;36;5700;129;36;91;0;2;17;39
1993;68400;09.06.1976;30.10.1994;15.04.1995;12;5700;B;0;2422;;23946,1;228848;15;40;18;2;6;57,2;9893;4,09;4,72;96;5623;5887;18,84931507;0,457534247;23946,1;1;12;5700;14;9;5;0;4;0;0
2000;290820;28.10.1937;06.08.1997;14.07.1998;60;4847;C;1;2430;classic;54882,8;95616;65;30;4;1;6;51,4;9307;3,85;4,43;118;2616;3040;60,70958904;0,936986301;54882,8;0;60;4847;84;25;59;0;14;0;23
2018;38520;06.12.1939;04.06.1995;21.01.1997;12;3210;A;1;2451;;21121,5;95907;87;25;5;2;7;59,1;8388;2,41;2,94;87;1658;1668;57,1260274;1,632876712;21121,5;0;12;3210;114;52;62;0;33;0;16
2035;176328;14.06.1943;10.05.1996;25.01.1998;36;4898;C;1;2470;;400;107911;88;33;6;2;7;50,9;8240;2,53;3,56;99;1850;1903;54,61643836;1,712328767;400;0;36;4898;171;41;127;0;2;20;64
2051;293880;28.01.1975;08.11.1995;22.04.1997;60;4898;D;0;2489;gold;900;197099;29;41;10;2;10;74,7;9624;1,6;2,31;145;4484;4265;22,23013699;1,452054795;900;1;60;4898;90;39;43;0;25;0;0
2055;271260;06.01.1971;17.04.1997;19.07.1998;60;4521;C;1;2494;;700;114006;71;26;6;2;9;62,3;9065;4,46;5,39;123;4147;4166;27,53150685;1,254794521;700;0;60;4521;73;33;40;0;19;0;10
2062;86184;04.12.1940;06.03.1996;29.10.1996;12;7182;A;0;2501;classic;49047,7;285387;0;2;8;5;7;89,9;10177;6,63;7,75;81;9878;10108;55,90136986;0,649315068;49047,7;0;12;7182;42;16;22;0;1;8;6
2064;83628;23.09.1977;30.12.1996;26.08.1997;36;2323;C;0;2503;;22030;387570;0;0;0;1;1;100;9897;1,6;1,96;140;18721;18696;19,92328767;0,654794521;22030;0;36;2323;34;17;16;0;2;8;0
2073;44640;11.02.1957;14.08.1997;05.10.1998;24;1860;C;1;2514;;45028,8;108871;41;29;7;2;6;62,1;8444;3,24;3,47;106;2595;2305;41,64657534;1,142465753;45028,8;0;24;1860;67;28;39;0;15;0;0
2080;214596;08.09.1937;27.04.1997;12.09.1997;36;5961;C;1;2522;classic;400;323870;0;0;0;1;1;100;10673;4,75;5,44;100;18782;18347;60,0109589;0,378082192;400;0;36;5961;17;10;7;0;1;5;0
2106;101520;12.10.1976;01.02.1996;03.10.1996;12;8460;A;0;2550;;400;1204953;0;0;0;1;1;100;12541;0,29;0,43;167;85677;99107;19,97534247;0,668493151;400;0;12;8460;38;18;20;0;10;0;4
